Tumor id	Skewness	Kurtosis	Entropy	Mean_intensity	Solidity	Variance	Standard Deviation	
B1	2.923	6.63	8.156	214.86	0.659	3777.631	61.462	1
B2	2.817	6.57	8.57	148.208	0.153	2254.8409	47.485	1
B3	3.238	8.874	8.305	177.32	0.098	2421.2095	49.2057	1
B4	2.647	5.176	8.57	222.7	0.151	4816.222	69.399	1
B5	2.36	3.819	8.757	168.42	0.163	3265.896	57.148	1
B6	3.104	7.894	7.648	212	0.1845	3619.99	60.166	1
B7	2.27	3.27	8.778	219.1641	0.129	5500.985	74.1686	1
B8	2.665	5.34	8.584	208.144	0.173	4292.296	65.515	1
B10	3.496	10.723	8.187	160.75	0.136	1805.929	42.496	1
B11	2.915	6.695	8.439	219.567	0.157	4397.497	66.3136	1
M1	2.865	6.566	8.48	164.904	0.587	2450.313	49.5	2
M2	2.292	3.34	8.755	224.105	0.1697	5618.048	74.953	2
M3	3.22	8.42	7.35	243.49	0.25	4197.907	64.791	2
M4	4.48	18.61	7.75	210.252	0.114	2037.806	45.142	2
M5	2.77	5.79	8.03	227.625	0.2253	4609.055	67.89	2
M6	2.472	4.212	8.66	233.14	0.138	2661.799	51.5926	2
M7	2.671	5.316	8.567	218.33	0.1406	4582.683	67.6955	2
M9	4.445	18.05	7.74	190.008	0.129	1597.842	39.973	2
M10	2.536	4.617	8.593	239.005	0.147	5502.7964	74.18	2
M11	3.927	14.604	6.729	148.287	0.121	1549.902	39.368	2
M12	3.732	12.469	8.1027	203.303	0.127	2751.638	52.456	2
